lexeme		token		attribute
(   	    11		    101 
)		    11		    111 
:=		    6		    120 (NULL)
,   	   	11	    	130 (NULL)
;           11          140
..          11          170
.           11          150
+           3           161
-           3           162
*           4           181
:           11          190
=           5           200
/           4           182
>           5           220
<           5           230
<=          5           300
>=          5           301
<>          5           302
[           11          242
]           11          253
{           11          262   
}           11          273
%           4           291
